ZIP_CODE,PO_NAME,New York Yankees,New York Mets,Boston Red Sox,Washington Nationals,Tampa Bay Rays
10001,New York,45.49,38.56,2.75,0.76,0.28
10002,New York,43.62,38.73,3.07,1.15,0.38
10003,New York,44.66,30.16,5.47,1.33,0.33
10004,New York,32.49,38.58,3.55,1.02,2.03
10005,New York,46.75,30.95,5.19,1.08,0.43
10006,New York,43.75,30.63,5.63,1.25,
10007,New York,33.94,37.1,4.98,1.81,0.9
10009,New York,45.85,35.96,3.62,1.11,0.49
10010,New York,41.34,36.45,3.61,1.28,0.32
10011,New York,40.95,34.51,5.5,1.4,0.84
10012,New York,38.31,35.91,3.68,1.84,0.55
10013,New York,33.11,23.48,5.54,3.03,0.92
10014,New York,41.31,33.08,4.76,1.54,0.51
10016,New York,45.53,34.31,3.41,0.79,0.44
10017,New York,46.74,31.25,5.3,1.09,0.27
10018,New York,35.19,28.95,3.05,1.2,1.2
10019,New York,48.05,31.61,3.15,1.13,0.83
10020,New York,40.74,22.22,1.23,1.23,
10021,New York,38.96,38.25,4.06,2.3,0.44
10022,New York,40.85,35.44,4.35,1.42,0.53
10023,New York,43.13,33.35,5.18,1.73,0.64
10024,New York,44.73,32.81,3.19,1.95,0.26
10025,New York,46.38,32.87,3.91,1.03,0.4
10026,New York,45.88,35.05,3.09,1.03,0.34
10027,New York,49,31.8,3.74,1.75,0.37
10028,New York,40.05,37.88,4.35,1.12,0.26
10029,New York,54.36,33.56,2.11,1.05,0.58
10030,New York,56.03,28.01,1.95,0.65,0.33
10031,New York,60.87,24.81,2.17,0.51,0.77
10032,New York,64.62,21.99,2.09,0.61,0.49
10033,New York,55.35,28.83,2.31,1.82,0.61
10034,New York,51.18,35.63,2.17,nan,0.59
10035,New York,48.69,39.14,3.82,0.72,0.72
10036,New York,43.9,35.51,4.75,1.3,0.47
10037,New York,51.53,39.26,,0.61,1.23
10038,New York,30.25,43.02,4.41,1.32,0.29
10039,New York,66.06,24.89,0.45,1.36,
10040,New York,62.9,25.34,2.14,0.76,0.61
10044,New York,52.27,35.45,4.09,nan,
10069,New York,53.48,28.88,3.74,2.14,0.53
10128,New York,47.9,32.42,3.92,1.56,0.27
10168,New York,,33.33,,nan,
10280,New York,36.52,47.39,3.04,2.17,
10281,New York,50,21.43,7.14,nan,
10282,New York,43.81,35.24,2.86,0.95,0.95
10301,Staten Island,34.23,43.78,3.78,1.62,0.72
10302,Staten Island,28.31,59.36,2.74,0.91,0.46
10303,Staten Island,40.19,47.2,3.27,nan,
10304,Staten Island,42.12,37.97,3.94,0.83,0.21
10305,Staten Island,37.43,42,3.69,0.88,0.88
10306,Staten Island,34.56,44.22,3.83,1.47,0.81
10307,Staten Island,31.92,44.87,3.57,1.12,1.12
10308,Staten Island,32.77,48.15,2.92,1.85,0.62
10309,Staten Island,38.62,45.95,3.5,0.88,1.09
10310,Staten Island,39.95,41.61,3.78,0.95,0.47
10312,Staten Island,35.37,46.98,3.42,1.28,0.85
10314,Staten Island,33.27,46.62,2.42,1.51,0.97
10451,Bronx,69.89,21.48,3.17,0.53,0.18
10452,Bronx,76.87,17.09,1.54,0.41,0.2
10453,Bronx,67.74,24.19,2.05,0.15,0.44
10454,Bronx,66.24,25.08,0.96,1.93,1.29
10455,Bronx,66.82,27.62,0.67,0.22,0.89
10456,Bronx,67.87,24.43,1.51,0.6,0.15
10457,Bronx,75.19,20,0.74,0.19,0.37
10458,Bronx,70.35,23.88,2.31,0.13,0.26
10459,Bronx,53.32,34.23,1.45,0.21,0.62
10460,Bronx,58.05,30.38,0.9,0.9,0.54
10461,Bronx,43.67,33.6,4.1,0.98,0.98
10462,Bronx,50.78,41.31,1.37,0.68,0.29
10463,Bronx,57.45,30.64,2.2,0.92,0.43
10464,Bronx,50.47,35.51,0.93,0.93,3.74
10465,Bronx,45.73,42.02,2.42,0.86,0.86
10466,Bronx,64.12,27.97,2.26,nan,0.28
10467,Bronx,68.45,23.32,1.86,0.23,0.7
10468,Bronx,65.68,24.26,3.55,0.59,0.15
10469,Bronx,63.46,26.4,2.1,1.05,1.4
10470,Bronx,43.42,46.22,2.24,0.28,1.12
10471,Bronx,59.71,24.06,3.48,0.72,0.72
10472,Bronx,53.95,37.96,0.96,nan,0.96
10473,Bronx,59.09,31.47,1.05,nan,0.7
10474,Bronx,58.24,35.16,1.1,nan,
10475,Bronx,51.18,34.68,2.69,0.67,1.35
10501,Amawalk,45,22.5,,12.5,5
10502,Ardsley,47.42,30.99,4.23,2.35,
10504,Armonk,41.55,33.8,3.87,3.17,0.7
10505,Baldwin Place,54.9,29.41,,nan,1.96
10506,Bedford,38.46,33.17,9.13,4.81,0.48
10507,Bedford Hills,38.74,43.24,4.5,2.7,0.9
10509,Brewster,40.91,36.98,6.61,0.83,0.83
10510,Briarcliff Manor,47.63,26.92,6.51,0.89,0.59
10511,Buchanan,62.5,26.92,1.92,nan,0.96
10512,Carmel,49.26,29.76,5.51,1.64,0.89
10514,Chappaqua,39.34,31.02,6.09,2.22,0.28
10516,Cold Spring,47.58,27.42,4.03,nan,2.42
10517,Crompond,33.33,40,,nan,
10518,Cross River,17.78,35.56,11.11,nan,6.67
10519,Croton Falls,75,12.5,12.5,nan,
10520,Croton on Hudson,54.21,28.93,3.37,1.69,0.84
10522,Dobbs Ferry,56.38,26.41,4.15,0.89,0.59
10523,Elmsford,47.45,32.65,6.63,1.53,1.53
10524,Garrison,39.47,36.84,5.26,1.32,
10526,Goldens Bridge,42.03,39.13,10.14,nan,
10527,Granite Springs,35,47.5,5,nan,
10528,Harrison,49.4,31.33,5.42,1,1
10530,Hartsdale,42.17,33.59,6.31,0.76,0.76
10532,Hawthorne,45.96,31.68,4.35,1.24,
10533,Irvington,50.23,26.94,4.11,4.57,0.46
10535,Jefferson Valley,81.25,6.25,,nan,6.25
10536,Katonah,43.33,36.39,5.83,1.11,0.28
10537,Lake Peekskill,47.37,36.84,2.63,2.63,
10538,Larchmont,36.3,35.25,6.28,1.92,0.17
10541,Mahopac,47.95,35.87,3.62,0.85,1.09
10543,Mamaroneck,40.89,39.35,6.64,0.68,0.68
10546,Millwood,50,17.39,4.35,10.87,
10547,Mohegan Lake,54.92,25.91,5.7,nan,0.52
10548,Montrose,65.22,22.83,2.17,1.09,2.17
